,Token,Amount,Type,Date
408,ETH,0.078,Trade,2019-12-20 16:36:34
409,GUSD,-29.9611605,Trade,2019-12-20 04:04:42
410,ETH,0.235,Trade,2019-12-20 04:04:42
411,BTC,-0.00051768,Trade,2019-12-17 15:37:21
412,ETH,0.027,Trade,2019-12-17 15:37:21
413,ETH,-0.07726802,Trade,2019-12-17 14:03:54
414,GUSD,10.0,Trade,2019-12-17 14:03:54
415,ETH,0.1,Deposit,2019-12-17 13:59:23
416,ETH,-0.14096713,Trade,2019-12-15 11:34:07
417,GUSD,20.0,Trade,2019-12-15 11:34:07
418,ETH,0.1494233,Deposit,2019-12-15 11:28:57
419,BTC,-0.00069619,Trade,2019-12-13 14:18:26
420,GUSD,5.0,Trade,2019-12-13 14:18:26
421,BTC,-0.0006991,Trade,2019-12-12 18:07:44
422,GUSD,5.0,Trade,2019-12-12 18:07:44
423,BTC,0.00142161,Deposit,2019-12-12 18:01:47
424,BTC,0.0005,Deposit,2019-12-12 16:47:01
425,ETH,0.02,Deposit,2019-12-12 15:53:43
